Type,Author,Source,Text
Stoic Peace,Marcus Aurelius,"Book 5, Section 13, Meditations","I consist of a formal and a material element. Neither of these two shall die and fade into nothingness, since neither came into being out of nothing. Every part of me, then, will be transformed and ranged again in some part of the Universe. That part of the Universe will itself be transmuted into another part, and so on for all time coming. By some such change as this I came into being, likewise my progenitors, and so back from all time past. There is no objection to this theory, even though the world be governed by determined cycles of revolution."
Stoic Peace,Marcus Aurelius,"Book 5, Section 14, Meditations","Reason, and the art of thinking, are powers which are complete in themselves, and in their special processes. They start from their own internal principle, and proceed to their appointed end. Such mental acts are called right, to indicate that the course of thought is right or straight."
Stoic Peace,Marcus Aurelius,"Book 5, Section 15, Meditations","Nothing should be said to be part of a man which is not part of his human nature. Things that are not part of his essence cannot be required of him, and have no part in the promise or the fulfilment of his nature. Therefore, in such things lies neither the end of man nor the good which crowns that end. Moreover, if anything were really part of a man, it would not be proper for him to despise it or revolt against it, nor would he be praiseworthy who made himself independent thereof. If non-essential things were indeed good, he could be no good man who stinted himself in the use of them; but, as we see, the more a man goes without them, and the more he endures the want of them, the better a man he is."
Stoic Peace,Marcus Aurelius,"Book 5, Section 16, Meditations","The character of your most frequent impressions will be the character of your mind. The soul takes colour from its impressions, therefore steep it in such thoughts as these:--Wherever a man can live, he can live well. A man can live in a court, therefore he can live well there. Again everything works towards that for which it was created, and that to which anything works is its end; and in the end of everything is to be found the advantage and the good of it. Now, for reasoning beings, Society is the highest good, for it has long since been proved that we were brought into the world to be social. Nay, was it not manifest that the inferior kinds were formed for the superior, and the superior for each other? Now, the animate is superior to the inanimate, and beings that reason to those that only live."
Stoic Peace,Marcus Aurelius,"Book 5, Section 17, Meditations",To pursue impossibilities is madness; and it is impossible that the wicked should not act in some such way as this.
Stoic Peace,Marcus Aurelius,"Book 5, Section 18, Meditations","Nothing can befall any man which he is not fitted by nature to bear. The like events befall others, and either through ignorance that the event has happened, or from ostentation of magnanimity, they stand firm and unhurt by them. Strange then that ignorance or ostentation should have more strength than wisdom!"
Stoic Peace,Marcus Aurelius,"Book 5, Section 19, Meditations","Material things cannot touch the soul at all, nor have any access to it: neither can they bend or move it. The soul is bent or moved by itself alone, and remodels all things that present themselves from without in accordance with whatever judgment it adopts within."
Stoic Peace,Marcus Aurelius,"Book 5, Section 20, Meditations","In one respect man is nearest and dearest to me; in so far, that is, as I must do good to him and bear with him. But in so far as some men obstruct me in my natural activities, man enters the class of things indifferent to me, no less than the sun, the wind, or the wild beast. By these indeed some special action may be impeded, but no interference with my purpose or with my inward disposition can come from them, thanks to my exceptive and modifying powers. For the mind can convert and change everything that impedes its activity into matter for its action; hindrance in its work becomes its real help, and every obstruction makes for its progress."
Stoic Peace,Marcus Aurelius,"Book 5, Section 21, Meditations","Reverence that which is most excellent in the Universe, and the most excellent is that which employs all things and rules all. Likewise reverence that which is most excellent in yourself. It is of the same nature as the former, for it is that which employs all else that is in you, and that by which your whole life is ordered."
Stoic Peace,Marcus Aurelius,"Book 5, Section 22, Meditations","That which harms not the city cannot harm the citizen. Apply this rule whenever you have the idea that you are hurt. If the state be not hurt by this, neither am I harmed, and if the state be hurt we should not be wrathful with him who hurt it. Consider where lay his oversight."
Stoic Peace,Marcus Aurelius,"Book 5, Section 23, Meditations","Consider frequently how swiftly things that exist or are coming into existence are swept by and carried away. Their substance is as a river perpetually flowing; their actions are in continual change, and their causes subject to ten thousand alterations. Scarcely anything is stable, and the vast eternities of past and future in which all things are swallowed up are close upon us on both hands. Is he not then a fool who is puffed up with success in the things of this world, or is distracted, or worried, as if he were in a time of trouble likely to endure for long."
Stoic Peace,Marcus Aurelius,"Book 5, Section 24, Meditations","Keep in mind the universe of being in which your part is exceeding small, the universe of time of which a brief and fleeting moment is assigned to you; the destiny of things, and how infinitesimal your share therein."
Stoic Peace,Marcus Aurelius,"Book 5, Section 25, Meditations","Does another wrong me? Let him look to that. His character and his actions are his own. So much is in my present possession as is dispensed to me by the nature of things, and I act as my own nature now bids me."
Stoic Peace,Marcus Aurelius,"Book 5, Section 26, Meditations","Let the leading and ruling part of your soul stand unmoved by the stirrings of the flesh, whether gentle or rude. Let it not commingle with them, but keep itself apart, and confine these passions to their proper bodily parts; and if they rise into the soul by any sympathy with the body to which it is united, then we must not attempt to resist the sensation, seeing that it is of our nature; but let not the soul, for its part, add thereto the conception that the sensation is good or bad."
Stoic Peace,Marcus Aurelius,"Book 5, Section 27, Meditations","Live with the Gods. And he lives with the Gods who continually displays to them his soul, living in satisfaction with its lot, and doing the will of the inward spirit, a portion of his own divinity which Zeus has given to every man for a ruler and a guide. This is the intelligence, the reason that abides in us all."
Stoic Peace,Marcus Aurelius,"Book 5, Section 28, Meditations","Are you angry with one whose armpits smell or whose breath is foul? What is the use? His mouth or his arm-pits are so, and the consequence must follow. But, you say, man is a reasonable being, and could by attention discern in what he offends. Very well, you too have reason. Use your reason to move his; instruct, admonish him. If he listens, you will cure him, and there will be no reason for anger. You are neither actor nor harlot."
Stoic Peace,Marcus Aurelius,"Book 5, Section 29, Meditations","As you intend to live at your going, so you can live here. But, if men do not permit you, then depart from life, yet so as if no misfortune had befallen you. If my house be smoky, I go out, and where is the great matter? So long as no such trouble drives me out, I remain at my will, and no one will prevent me from acting as I will. And my will is the will of a reasonable and social being."
Stoic Peace,Marcus Aurelius,"Book 5, Section 30, Meditations","The intelligence of the Universe is social. It has therefore made the inferior orders for the sake of the superior; and has suited the superior beings for one another. You see how it hath subordinated, and co-ordinated, and distributed to each according to its merit, and engaged the nobler beings to a mutual agreement and unanimity."
Stoic Peace,Marcus Aurelius,"Book 5, Section 31, Meditations","How have you behaved towards the Gods, towards your parents, your brothers, your wife, your children, your teachers, those who reared you, your friends, your intimates, your slaves? Can it be said that you have ever acted towards all of them in the spirit of the line:-- He wrought no harshness, spoke no unkind word? Recollect all you have passed through, all that you have had strength to bear. Your life is now a tale that is told, and your service is all discharged. Recall the fair sights you have seen, the pleasures and the pains you have despised, the so-called glory that you have foregone, the unkindly men to whom you have shown kindness."
Stoic Peace,Marcus Aurelius,"Book 5, Section 32, Meditations","How is it that unskilled and ignorant souls disturb the skilful and intelligent? What, I ask, is the skilful and intelligent soul? It is that which knows the beginning and the end, and the reason which pervades all being, and by determined cycles rules the Universe for all time."
Stoic Peace,Marcus Aurelius,"Book 5, Section 33, Meditations","In a little space you will be only ashes and dry bones and a name, perhaps not even that. A name is but so much empty sound and echo, and the things which are so much prized in life are empty, mean, and rotten. We are as puppies that snap at one another, as children that quarrel, laugh, and presently weep again. But integrity, modesty, justice, and truth, Up from the wide-wayed earth have soared to heaven. What then should detain you here? Things sensible are ever changing and unstable. The senses are dull and easily deceived. The poor soul itself is a mere exhalation from blood. Fame in such a world is a thing of naught. What then? You await calmly extinction or transformation, whichever it may be. And till the fulness of the time be come what is to suffice you? What else than a life spent in fearing and praising the Gods, and in the practice of benevolence, toleration and forbearance towards men? And whatsoever lies beyond the bounds of flesh and breath, remember that it is neither yours nor in your power."
Stoic Peace,Marcus Aurelius,"Book 5, Section 34, Meditations","A prosperous life may be yours if only you can take the right path, and keep to it in all you think or do. Two advantages are common to Gods, to men, and to every rational soul. In the first place, nothing external to themselves has power to hinder them. In the second, their happiness lies in having mind and conduct disposed to justice, and in the power to make that the end of all desire."
Stoic Peace,Marcus Aurelius,"Book 5, Section 35, Meditations","If the fault be not my sin, nor a consequence of it, if there be no damage to the common good, why am I perturbed about it? Wherein is the harm to the common good?"
Stoic Peace,Marcus Aurelius,"Book 5, Section 36, Meditations","Be not incautiously carried away by sentiment, but aid him that needs it according to your power and his desert. If his need be of the things which are indifferent, think not that he is harmed thereby, for so to think is an evil habit. But as, in the Comedy, the old man begs to have his fosterchild's top for a keepsake, though he knows well that it is a top and nothing more, so should you act also in the affairs of life. You mount the rostra and cry aloud, ""O man, have you forgotten what is the real value of what you seek?"" ""No, but the many are keen in their pursuit of it."" ""Are you then to be a fool because they are?"" In whatever case I had been left I could have made my fortune: for what is it to make a fortune but to confer good things upon one's self; and true good things are a worthy frame of mind, worthy impulses, worthy actions. END OF THE FIFTH BOOK."
Stoic Peace,Marcus Aurelius,"Book 6, Section 1, Meditations","The substance of the Universe is docile and pliable. The mind which governs it has in itself no source of evil-doing. It has no malice: it does no ill, and nothing is hurt by it. By its guidance all things come to be, and fulfil their being."
Stoic Peace,Marcus Aurelius,"Book 6, Section 2, Meditations","Act the part which is worthy of you, regarding not whether you be stiff with cold or comfortably warm; whether you be drowsy or refreshed with sleep; whether you be in good report or bad; whether you be dying or upon some other business. For death also is one piece of the business of life, and, here as elsewhere, it is enough to do well what comes to our hand."
Stoic Peace,Marcus Aurelius,"Book 6, Section 3, Meditations",Look within. Let not the proper quality or value of anything escape you.
Stoic Peace,Marcus Aurelius,"Book 6, Section 4, Meditations","All that exists will very speedily change; by rarefaction, if all substance be one; otherwise by dispersion."
Stoic Peace,Marcus Aurelius,"Book 6, Section 5, Meditations","The guiding mind knows what its own condition is, how, and upon what matter its work is done."
Stoic Peace,Marcus Aurelius,"Book 6, Section 6, Meditations",The best revenge is not to copy him that wronged you.
Stoic Peace,Marcus Aurelius,"Book 6, Section 7, Meditations","Find your sole delight and recreation in proceeding from one unselfish action to another, with God ever in mind."
Stoic Peace,Marcus Aurelius,"Book 6, Section 8, Meditations","The ruling part of you is that which rouses and steers itself, making itself what it wishes to be, and making all that happens take such appearance as it will."
Stoic Peace,Marcus Aurelius,"Book 6, Section 9, Meditations","All things are accomplished according to the will of universal nature. There is no other nature to influence them which either comprehends the former from without, or is contained within it, or exists externally, and independent of it."
Stoic Peace,Marcus Aurelius,"Book 6, Section 10, Meditations","The Universe is either a confusion ravelled and unravelled again, or else a unity compact of order and forethought. If it be the former, why should I wish to linger amid this aimless chaos and confusion, or have any further care than ""how to become earth again""? Nay, why am I disturbed at all? Dissolution will overtake me, do what I please. But, if the latter be the case, I adore the Ruler of all things, I stand firm, and put my trust in him."
Stoic Peace,Marcus Aurelius,"Book 6, Section 11, Meditations","Whenever your situation forces trouble upon you, return quickly to yourself, and interrupt the rhythm of life no longer than you are compelled. Your grasp of the harmony will grow surer by continual recurrence to it."
Stoic Peace,Marcus Aurelius,"Book 6, Section 12, Meditations","Had you at one time both a step-mother and a mother, you would respect the former, yet you would be more constantly in your mother's company. Your court and your philosophy are step-mother and mother to you. Return then frequently to your true mother, and recreate yourself with her. Her consolation can make the court seem bearable to you, and you to it."
Stoic Peace,Marcus Aurelius,"Book 6, Section 13, Meditations","Keep these thoughts for meats and eatables: This that is before me is the dead carcase of a fish, a fowl, a hog. This Falernian is but a little grape juice. Think of your purple robes as sheep's wool stained in the blood of a shell-fish. Such conceptions, which touch reality so near, and set forth the sum and substance of these objects, are powerful indeed to display to us their despicable value. In this spirit we should act throughout life; and when things of great apparent worth present themselves, we should strip them naked, view their meanness, and cast aside the glowing description which makes them seem so glorious. Vanity is a great sophist, and most imposes on us when we believe ourselves to be busy about the noblest ends. Remember the saying of Crates about Xenocrates himself."
Stoic Peace,Marcus Aurelius,"Book 6, Section 14, Meditations","Most objects of vulgar admiration may be referred to certain general classes. There are, first, those which hold together by cohesion or by some organic unity, such as stone, timber, figs, vines or olives. The things which men, a shade more reasonable, admire are referred to the class which possesses animal life such as is seen in flocks and herds. When man's taste is still more cultured his admiration turns to things which can show a rational intelligence. But he admires this intelligence not as a universal principle, but only so far as he finds it expressed in art or industry, or, indeed, sometimes merely so far as it is exhibited by his retinue of artist slaves. But he who values rational intelligence as a universal thing, and as a social force, will care nothing for these other objects of admiration. He will, above all things, strive to preserve his own mind in all its rational and social instincts and activities; and to this end he will co-operate with any of his kind."
Stoic Peace,Marcus Aurelius,"Book 6, Section 15, Meditations","Some things hasten into being. Some hasten to be no more. Even as a thing is born some part of it is already dead. Flux and change are constantly renewing the world, just as the unbroken flow of time ever presents to us some new portion of eternity. In this vast river, on whose bosom there is no tarrying, what is there among the things that sweep by us that is worth the prizing? It is as if a man grew fond of one among a passing flight of sparrows, when already it had vanished from his sight. Our life itself is much like a vapour of the blood or a drawing in of air. Our momentary actions of inhalation and exhalation are one in kind with that whole power of breathing which, yesterday or the day before, we received at birth, and which we must restore again to the source from whence we drew it."
Stoic Peace,Marcus Aurelius,"Book 6, Section 16, Meditations","It is a small privilege to transpire like plants, or even to breathe as cattle or wild beasts do. To feel the impressions of sense, to be swayed like puppets by passion, to herd together and to live by bread; all this is no great thing. There is nothing here superior to our power of discharging our superfluous food. What, then, is of value? To be received with clapping of hands? No. Neither, therefore, is the applause of tongues more valuable, for the praises of the multitude are naught but the idle clapping of tongues. Dismiss the vanity called fame, and what remains to be prized? This, I think: in all things to act, or to restrain yourself from action, as best suits the particular structure of your nature. This is the end of all arts and studies, for every art aims at making what it produces well adapted to the work for which it was designed. The gardener, the vine-dresser, the horse-breaker, the dog-trainer all try for this; and what else is the aim of all education and teaching? Here, then, is what you may truly value: this well won, you will seek for nothing more. Will you, then, cease valuing the multitude of other things? If you do not, you will never attain to freedom, self-sufficiency, or tranquillity. You cannot escape envying, suspecting, and striving against those who have the power to deprive you of your cherished objects, nor plotting against men who are in possession of that on which you set your heart. The man who lacks any of these things must, of necessity, be distracted, and be for ever complaining against the Gods. But reverence and respect for your own intelligence will bring you to agreement with yourself, into concord with mankind, and into harmony with the Gods, whom you will praise for all their good gifts and guidance."
Stoic Peace,Marcus Aurelius,"Book 6, Section 17, Meditations","Upward, downward, round and round run the courses of the elements. But the course of virtue is like none of these; it follows a diviner path, well-directed in a way that is hard for us to understand."
Stoic Peace,Marcus Aurelius,"Book 6, Section 18, Meditations",Strange are the ways of men! They can speak no good word of the contemporaries with whom they live; yet they count it a great thing to gain the praises of a posterity whom they never saw nor shall see. As well might we grieve because we cannot hear the praises of our ancestors.
Stoic Peace,Marcus Aurelius,"Book 6, Section 19, Meditations","If a thing seems to you very difficult to accomplish, conclude not that it is beyond human power. But, if you see that anything is within man's power, and part of his proper work, conclude that you also may attain to it."
Stoic Peace,Marcus Aurelius,"Book 6, Section 20, Meditations","In the gymnasium, if some one scratches us with his nails, or in a sudden onset bruises our head, we express no resentment; we are not offended; nor do we suspect him for the future as one who is plotting against us. We are on our guard against him, it is true, but not as against an enemy or a suspected person. In all good humour we simply keep out of his way. Let us thus behave in other affairs of life, and overlook the many injuries which are done to us, as it were, by our antagonists in the gymnasium of the world. As I said, we may keep out of their way, but without suspicion or hatred."
Stoic Peace,Marcus Aurelius,"Book 6, Section 21, Meditations","If any one can convince or shew me that I am wrong in thought or deed, I will gladly change. It is truth that I seek; and truth never yet hurt any man. What does hurt is persistence in error or in ignorance."
Stoic Peace,Marcus Aurelius,"Book 6, Section 22, Meditations","I do my duty, and for the rest am not distracted by anything which is inanimate or irrational, or which has lost or ignores the proper way."
Stoic Peace,Marcus Aurelius,"Book 6, Section 23, Meditations","Use the brute creation, and also all material things, in the spirit of magnanimity and freedom which becomes him who has reason in using that which has it not. Towards men, who have reason, act in a social spirit. In every business call the Gods to aid thee, nor trouble how long this business shall endure; three hours spent therein may suffice you."
Stoic Peace,Marcus Aurelius,"Book 6, Section 24, Meditations","Alexander of Macedon and his muleteer, when they died, were in a like condition. They were either alike resumed into the seminal source of all things, or alike dispersed among the atoms."
Stoic Peace,Marcus Aurelius,"Book 6, Section 25, Meditations","Consider all the many things, both physical and spiritual, that are adoing within each of us at the very same instant of time; and you will wonder the less at the far greater multitudes of things, even all that is, which exist together in the one-and-all which we call the Universe."
Stoic Peace,Marcus Aurelius,"Book 6, Section 26, Meditations","Should some one ask you how the name Antoninus is written, would you not carefully pronounce to him each one of the letters? Should he then begin an angry dispute about it, would you also grow angry, and not rather mildly count over the several letters to him? Thus in life remember that each duty is made up of a number of elements. We should observe all these calmly; and, without anger at those who are angry with us, we should set about accomplishing the task which lies before us."
Stoic Peace,Marcus Aurelius,"Book 6, Section 27, Meditations","Is it not cruel to restrain men from pursuing what appears to be their own advantage? And yet, in a manner, you deny them this liberty when you shew anger at their errors. Men are assuredly attracted to what seems to be their own advantage. ""Yes,"" you say, ""but it is not their advantage."" Instruct them, then, and make this evident to them, but without anger."
Stoic Peace,Marcus Aurelius,"Book 6, Section 28, Meditations","Death is the cessation of the sensual impressions, of the impulses of the passions, of the questionings of reason, and of the servitude to the flesh."
Stoic Peace,Marcus Aurelius,"Book 6, Section 29, Meditations","It is shame and dishonour that, in any man's life, the soul should faint from its duty while the body still holds out."
Stoic Peace,Marcus Aurelius,"Book 6, Section 30, Meditations","See to it that you fall not into Caesarism: avoid that stain, for it may come to you. Guard your simplicity, your goodness, your sincerity, your dignity, your reticence, your love of justice, your piety, your kindliness, your affection for your kin, and your constancy to your duty. Endeavour earnestly to continue such as philosophy would make you. Reverence the Gods, and help mankind. Life is short, and the one fruit of it in this world is a pure mind and unselfish conduct. Be in all things the disciple of Antonine. Imitate his resolute constancy to rational action, his level equability, his godliness, his serenity of countenance, his sweetness of temper, his contempt of vainglory, his keen attempts to comprehend things. Remember how he never quitted any subject till he had thoroughly examined it and understood it, and how he bore with those who blamed him unjustly, without making any angry retort: how he was never in a hurry; how he discouraged calumny; how closely he scanned the manners and actions of men; how cautious he was in reproaching any man; how free from fear, suspicion, or sophistry; how little contented him in the matter of house, furniture, dress, food, servants; how patient he was of labour, and how slow to anger. So abstemious was his life that he could hold out until evening without relieving himself, except at the usual hour. What a firm and loyal friend he was; how patient of frank opposition to his opinions; how glad if any one could set him right! How religious he was, and yet how free from superstition! Follow in his steps that your last hour may find you with a conscience as easy as his."
Stoic Peace,Marcus Aurelius,"Book 6, Section 31, Meditations","Sober yourself, recall your senses. Shake sleep from you, and know that it was a dream that troubled you; and, now that you are broad awake again, regard the waking world as you did the dream."
Stoic Peace,Marcus Aurelius,"Book 6, Section 32, Meditations","I am made up of a frail body and a soul. To the body all things are indifferent, because it cannot distinguish them; and to the mind all things are indifferent also which arise not from its own activities. All these are indeed in its own power, but it is concerned with only such of them as are present. Its past and future activities are indifferent to it now."
Stoic Peace,Marcus Aurelius,"Book 6, Section 33, Meditations","No toil for hand or foot is against Nature, so long as it is proper for hand or foot to do. No more, then, is toil contrary to the nature of man, as man, so long as he is doing work appointed for man to do; and if it be not contrary to his nature it cannot be evil for him."
Stoic Peace,Marcus Aurelius,"Book 6, Section 34, Meditations","How many are the pleasures that have been enjoyed by robbers, rakes, parricides, and tyrants!"
Stoic Peace,Marcus Aurelius,"Book 6, Section 35, Meditations","Do you not see how common artificers, though they may humour the public to a certain extent, cling to the rules of their art, and cannot endure to depart from them? Is it not grievous, then, that the architect and the physician should shew greater respect for the rules of their several professions, than man shews for his own reason, which he possesses in common with the Gods?"
Stoic Peace,Marcus Aurelius,"Book 6, Section 36, Meditations","Asia and Europe are mere corners of the Universe: the whole sea is but a drop, Athos a clod. All the present is but an instant in eternity. All things are small, changeable, and fleeting. Everything proceeds from the universal intelligence, either directly or as a consequence. Thus, the jaws of lions, poisons, all evil things such as thorns or mire, are the consequences of the grand and the beautiful. Do not, then, imagine that they are foreign to that which you revere, but consider well the source of all things."
Stoic Peace,Marcus Aurelius,"Book 6, Section 37, Meditations","He who has seen the present has seen all that either has been from all eternity, or will be to all eternity, for all things are alike in kind and form."
Stoic Peace,Marcus Aurelius,"Book 6, Section 38, Meditations","Consider frequently the connexion of all things in the Universe, and their relation to each other. All things are in a manner intermingled with one another, and are, therefore, mutually friendly. For one thing comes in due order after another, by virtue of local movements, and of the harmony and unity of the whole."
Stoic Peace,Marcus Aurelius,"Book 6, Section 39, Meditations","Adapt yourself to the things which your destiny has given you: love those with whom it is your lot to live, and love them with sincere affection."
Stoic Peace,Marcus Aurelius,"Book 6, Section 40, Meditations","A tool, an instrument, a utensil, is in good case when it is fit for its proper work: yet its maker remains not by it. But within the organisms of Nature there remains and resides the power which made them. You ought, therefore, to reverence this power the more, believing that if you act in deference to its will, all will happen to you in reason; for so in reason the Universe ranges all."
Stoic Peace,Marcus Aurelius,"Book 6, Section 41, Meditations","Whenever we imagine that anything which lies not in our power is good or evil for us, if the evil befall us or if we miss the good, we inevitably blame the Gods, and hate the men who are, or whom we suspect to be, the cause of our disaster or our loss. Our solicitude about such things leads to much injustice; but if we judge only the things that are in our power to be good or evil, there is no reason left for accusing the Gods or for hating men."
Stoic Peace,Marcus Aurelius,"Book 6, Section 42, Meditations","We are all co-operating in one great work, some with knowledge and understanding, others ignorantly and without design. It is in this sense, I think, that Heraclitus says that men are working even while they sleep, working together in all that is being done in the Universe. Each works in a different way; and even those contribute abundantly who murmur and try to oppose and to frustrate the course of nature. The world has need even of such as these. It remains then for you to make sure which is the class in which you rank yourself. The presiding mind will assuredly use you to good purpose one way or other; and will enlist you among its labourers and fellow-workers. But see to it that the part that falls to you lie not in the vulgar comic passage of the play, of which Chrysippus has spoken."
Stoic Peace,Marcus Aurelius,"Book 6, Section 43, Meditations","Does the sun pretend to perform the work of the rain, or Aesculapius that of Ceres? What of the several stars? Are they not different, yet all jointly working for the same end?"
Stoic Peace,Marcus Aurelius,"Book 6, Section 44, Meditations","If the Gods took counsel about me and what should befall me, doubtless then-counsel was good. It is difficult to imagine Gods wanting in forethought, and what could move them to do me wilful harm? What advantage would thence accrue, either to themselves or to the Universe which is their special care? If they have not taken counsel about me in particular, they certainly have done so about the common interest of the Universe, and I therefore should accept cheerfully and contentedly the fate which is the outcome of their ordinance. If, indeed, they take no counsel about anything (which it were impious to believe), then let us quit our sacrifices, our prayers, and our oaths, and all acts of devotion which we now perform as if they lived and moved amongst us. But, granting that the Gods take no thought for my affairs, I may still deliberate about myself. It is my business to consider my own interest. Now, each man's interest is that which agrees with the structure of his nature, and my nature is rational and social. As Antoninus, my city and my country is Rome; as a human being it is the world. That alone, then, which profits these two cities can profit me."
Stoic Peace,Marcus Aurelius,"Book 6, Section 45, Meditations","All that happens to the individual is of profit to the whole. This would suffice. But if you consider closely you will see that it is also a general truth that all that happens to one man is of profit to the rest of mankind. ""Profit"" here should be taken in a somewhat general sense, as referring to things indifferent."
Stoic Peace,Marcus Aurelius,"Book 6, Section 46, Meditations","In the amphitheatre and other such resorts the same or similar spectacles, continually presented, cloy at last. It is even so in all our experience of life. All things, first and last, are alike, and like derived. When shall the end be?"
Stoic Peace,Marcus Aurelius,"Book 6, Section 47, Meditations","Think continually of all the men that are dead and gone, men of every sort and condition, of all manner of pursuits, and of every nation. Return back to Philistion, Phoebus, and Origanion. Pass down to other generations of the dead. We must all change our habitation and go to that place whither so many great orators, so many venerable philosophers, Heraclitus, Pythagoras, Socrates, and so many heroes have gone before, and so many generals and princes have followed. Add to these Eudoxus, Hipparchus, Archimedes, and other keen, great, laborious, cunning and arrogant spirits; yea, such as have wittily derided this fading mortal life which is but for a day, as did Menippus and his brethren. Consider that all these are long since in their graves. And wherein here is the harm for them; or even for men whose names are not remembered? The one precious thing in life is to spend it in a steady course of truth and justice, with kindliness even for the false and the unjust."
Stoic Peace,Marcus Aurelius,"Book 6, Section 48, Meditations","When you would cheer your heart, consider the several excellencies of those that live around you. Consider the activity of one, the modesty of another, the generosity of a third, and the other virtues of the rest. Nothing rejoices the heart so much as instances, the more the better, of goodness manifested in the characters of those around us. Let us, therefore, have such instances ever present for reflection."
Stoic Peace,Marcus Aurelius,"Book 6, Section 49, Meditations","Are you grieved that you weigh only these few pounds, and not three hundred? If not, is there greater reason to sorrow if you live only so many years and no longer? You are satisfied with your allotted quantity of matter; content yourself then likewise with the span of time appointed you."
Stoic Peace,Marcus Aurelius,"Book 6, Section 50, Meditations","Try to persuade men to agree with you; but whether they agree or not, pursue the course you have marked out when the principles of justice point that way. Should one oppose you by force, act with resignation, and shew not that you are hurt, use the obstruction for the exercise of some other virtue, and remember that your purpose involved the reservation that you were not to aim at impossibilities. What, after all, was your aim? To make some good effort such as this. Well, then, you have succeeded, even though your first purpose be not accomplished."
Stoic Peace,Marcus Aurelius,"Book 6, Section 51, Meditations",The vain-glorious man places his happiness in the action of others. The sensualist finds it in his own sensations. The wise man realizes it in his own work.
Stoic Peace,Marcus Aurelius,"Book 6, Section 52, Meditations","You have it in your power to form no opinion about this or that, and so to have peace of mind. Things material have no power to form our opinions for us."
Stoic Peace,Marcus Aurelius,"Book 6, Section 53, Meditations","Accustom yourself to attend closely to what is said by others, and as far as possible to penetrate into the mind of the speaker."
Stoic Peace,Marcus Aurelius,"Book 6, Section 54, Meditations",What profits not the swarm profits not the bee.
Stoic Peace,Marcus Aurelius,"Book 6, Section 55, Meditations","If the sailors revile their pilot, or the sick their physician, whom will they follow or obey? And how will the one secure safety to the crew, or the other health to the patients?"
Stoic Peace,Marcus Aurelius,"Book 6, Section 56, Meditations",How many who entered the world with me are already departed!
Stoic Peace,Marcus Aurelius,"Book 6, Section 57, Meditations","To the jaundiced, honey seems bitter; and water is a thing of dread to those bitten by mad dogs. To boys a ball is a glorious thing. Why, then, am I angry? Has error in the mind less power than a little bile in the jaundiced, or a little poison in him who is bitten?"
Stoic Peace,Marcus Aurelius,"Book 6, Section 58, Meditations",No man can prevent you from living according to the plan of your nature; and nothing can befall you which is contrary to the plan of the nature of the Universe.
Stoic Peace,Marcus Aurelius,"Book 6, Section 59, Meditations","Consider what men are; whom they seek to please; what they expect to gain, and how they go about to compass their ends. Think how soon eternity will shroud all things, and how much is already shrouded. END OF THE SIXTH BOOK."
Stoic Peace,Marcus Aurelius,"Book 7, Section 1, Meditations","What is vice? It is what you have often seen. In every instance of it keep in mind that you have often seen the like before. Search up and down; you will find sameness everywhere. Among the events which fill the history of ancient, middle, and present ages; among the things of which our cities and our households are full to-day, nothing is new, all is familiar and fleeting."
Stoic Peace,Marcus Aurelius,"Book 7, Section 2, Meditations","How can the great principles of life become dead if the impressions which correspond to them be not extinguished? These impressions you may still rekindle. I can always form the proper opinion of this or that; and, if so, why am I disturbed? What is external to my mind is of no consequence to it. Learn this, and you stand upright; you can always renew your life. See things again as once you saw them, and your life is made new again."
Stoic Peace,Marcus Aurelius,"Book 7, Section 3, Meditations","Your vain concern for shows, for stage plays, for flocks and herds, your little combats, are as bones cast for the contention of puppies, as baits dropped into a fishpond, as the toil of ants and the burdens that they bear, as the scampering of frightened mice, or the antics of puppets jerked by wires. It is then your duty amid all this to stand firm, kindly and not proud, yet to understand that a man's worth is just the worth of that which he pursues."
Stoic Peace,Marcus Aurelius,"Book 7, Section 4, Meditations","In conversation we should give good heed to what is said, and in every enterprise we should attend to what is done. In the latter case, at once look to the end in view, and, in the former, note the meaning intended."
Stoic Peace,Marcus Aurelius,"Book 7, Section 5, Meditations","Is my understanding sufficient for this business or not? If it be sufficient, I use it for the work in hand as an instrument given to me by nature. If it be not sufficient, I either give place to one better fitted for the achievement, or, if for some reason this be not a proper course, I do it as best I can, taking the aid of those who, by directing my mind, can accomplish something fit and serviceable for the common good. For all that I do, whether by myself or with the help of others, should be directed solely towards what is fit and useful for the public service."
Stoic Peace,Marcus Aurelius,"Book 7, Section 6, Meditations",How many of those who were once so mightily acclaimed are delivered up to oblivion! And how many of those who acclaimed them are dead and gone this many a day!
Stoic Peace,Marcus Aurelius,"Book 7, Section 7, Meditations","Be not ashamed of taking assistance. It is laid upon you to do your part, as on a soldier when the wall is stormed. What, then, if you are lame, and cannot scale the battlements alone, but can with another's help?"
Stoic Peace,Marcus Aurelius,"Book 7, Section 8, Meditations","Be not troubled about the future. You will come to it, if need be, with the same power to reason, as you use upon your present business."
Stoic Peace,Marcus Aurelius,"Book 7, Section 9, Meditations","All things are twined together, in one sacred bond. Scarce is there one thing quite foreign to another. They are all ranged together, and leagued to form the same ordered whole. The Universe, compact of all things, is one; through all things runs one divinity; being is one; and law, which is the reason common to all intelligent creatures; and truth is one as well, that is if there be but one sort of perfection possible to all beings which are of the same nature and partake of the same rational power."
